"Time","rootMeanSquareVoltage.mean.y","rectifier.thyristor_p.off","pulse2.twoPulse.timerPositive[1].entryTime","inductor.i","meanCurrent.x","meanVoltage.y","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","rectifier.thyristor_n.off"
4.9843974,12099.979,1,4.98,5.8746662,0.026984096,0.77845061,46.090149,-0.40199089,4.9699998,6.1165042,0
4.9845972,12099.979,1,4.98,5.8445058,0.028156063,0.77845061,50.809166,-0.43271276,4.9699998,6.1165042,0
4.9847975,12099.979,1,4.98,5.81422,0.029321982,0.77845061,55.604206,-0.46368113,4.9699998,6.1165042,0
4.9849849,12099.979,1,4.98,5.7858129,0.030409874,0.77845061,60.136738,-0.4928385,4.9699998,6.1165042,0
4.9849849,12099.979,0,4.98,5.7858129,0.030409874,0.77845061,60.136738,-0.4928385,4.9699998,6.1165042,1
4.9849973,12099.979,0,4.98,5.7878013,0.030481867,0.77845061,60.437798,-0.4909032,4.9699998,6.1165042,1
4.9851975,12099.979,0,4.98,5.8196802,0.031642664,0.77845061,65.271805,-0.45980915,4.9699998,6.1165042,1
4.9853973,12099.979,0,4.98,5.8513112,0.032809813,0.77845061,70.068314,-0.42883602,4.9699998,6.1165042,1
4.9855976,12099.979,0,4.98,5.8825731,0.033983257,0.77845061,74.78978,-0.39810628,4.9699998,6.1165042,1
4.9857974,12099.979,0,4.98,5.9133463,0.035162903,0.77845061,79.39991,-0.3677412,4.9699998,6.1165042,1
4.9859977,12099.979,0,4.98,5.9435129,0.036348645,0.77845061,83.864143,-0.33786064,4.9699998,6.1165042,1
4.9861975,12099.979,0,4.98,5.9729576,0.037540354,0.77845061,88.150208,-0.30858257,4.9699998,6.1165042,1
4.9863973,12099.979,0,4.98,6.0015683,0.038737867,0.77845061,92.228691,-0.28002253,4.9699998,6.1165042,1
4.9865975,12099.979,0,4.98,6.0292358,0.039941013,0.77845061,96.073479,-0.2522932,4.9699998,6.1165042,1
4.9867973,12099.979,0,4.98,6.0558543,0.041149586,0.77845061,99.662079,-0.22550403,4.9699998,6.1165042,1
4.9869976,12099.979,0,4.98,6.0813231,0.042363372,0.77845061,102.97605,-0.19976078,4.9699998,6.1165042,1
4.9871974,12099.979,0,4.98,6.1055446,0.04358213,0.77845061,106.00129,-0.17516504,4.9699998,6.1165042,1
4.9873977,12099.979,0,4.98,6.128427,0.044805598,0.77845061,108.72826,-0.15181391,4.9699998,6.1165042,1
4.9875975,12099.979,0,4.98,6.1498842,0.046033502,0.77845061,111.15212,-0.12979956,4.9699998,6.1165042,1
4.9877977,12099.979,0,4.98,6.1698351,0.047265548,0.77845061,113.27281,-0.10920887,4.9699998,6.1165042,1
4.9879975,12099.979,0,4.98,6.1882043,0.048501428,0.77845061,115.09506,-0.090123087,4.9699998,6.1165042,1
