"Time","rectifier.thyristor_p2.off","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n1.off","meanCurrent.y","meanVoltage.y","dcpm.inertiaRotor.phi","inductor.i","pulse2.twoPulse.filter[1].transferFunction[2].x_scaled[1]","rootMeanSquareVoltage.mean.x","dcpm.inertiaRotor.w","meanVoltage.x","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.filter[1].transferFunction[1].x_scaled[1]","rectifier.thyristor_n2.off","rectifier.thyristor_p1.off","pulse2.twoPulse.filter[1].firstOrder.y","meanCurrent.x","lMains.i","pulse2.twoPulse.timerNegative[1].entryTime"
2.4661934,1,2.460042,1,99.872803,96.42746,351.86551,103.80244,-3.5971031,87.593491,143.61255,0.64886194,12079.077,-0.091071405,0,0,138.40433,0.59872693,103.80534,2.450042
2.4663935,1,2.460042,1,99.872803,96.42746,351.89426,104.36825,-4.5761709,91.701447,143.61601,0.67752564,12079.077,0.92094415,0,0,138.97882,0.61954641,104.37107,2.450042
2.4665935,1,2.460042,1,99.872803,96.42746,351.92297,104.88344,-5.535531,95.575241,143.61995,0.70536011,12079.077,1.9277332,0,0,138.99516,0.64047414,104.88618,2.450042
2.4667935,1,2.460042,1,99.872803,96.42746,351.95169,105.34141,-6.4713678,99.192238,143.6243,0.73225582,12079.077,2.9252687,0,0,138.45462,0.66149926,105.34405,2.450042
2.4669936,1,2.460042,1,99.872803,96.42746,351.98044,105.73577,-7.3799677,102.53386,143.629,0.75810695,12079.077,3.9095695,0,0,137.36052,0.68260974,105.7383,2.450042
2.4671936,1,2.460042,1,99.872803,96.42746,352.00916,106.06042,-8.2577353,105.58585,143.63402,0.78281188,12079.077,4.8767152,0,0,135.71825,0.70379227,106.06283,2.450042
2.4673936,1,2.460042,1,99.872803,96.42746,352.03787,106.30949,-9.101202,108.33852,143.63927,0.8062734,12079.077,5.8228602,0,0,133.53519,0.72503221,106.31178,2.450042
2.4675934,1,2.460042,1,99.872803,96.42746,352.06662,106.47745,-9.9070425,110.78688,143.6447,0.8283993,12079.077,6.7442493,0,0,130.8208,0.74631399,106.47959,2.450042
2.4677935,1,2.460042,1,99.872803,96.42746,352.09534,106.55907,-10.672088,112.93073,143.65024,0.84910268,12079.077,7.6372304,0,0,127.58652,0.7676208,106.56107,2.450042
2.4679935,1,2.460042,1,99.872803,96.42746,352.12408,106.54949,-11.393332,114.77464,143.65581,0.86830217,12079.077,8.4982681,0,0,123.84574,0.78893489,106.55134,2.450042
2.4681935,1,2.460042,1,99.872803,96.42746,352.1528,106.44418,-12.067948,116.32793,143.66133,0.88592231,12079.077,9.3239584,0,0,119.61382,0.81023753,106.44586,2.450042
2.4683936,1,2.460042,1,99.872803,96.42746,352.18155,106.23902,-12.693297,117.60445,143.66672,0.90189403,12079.077,10.111039,0,0,114.90795,0.83150923,106.24053,2.450042
2.4685936,1,2.460042,1,99.872803,96.42746,352.2103,105.93027,-13.266936,118.62244,143.67189,0.91615462,12079.077,10.856406,0,0,109.74717,0.85272956,105.93161,2.450042
2.4687936,1,2.460042,1,99.872803,96.42746,352.23901,105.51461,-13.786633,119.40414,143.67676,0.92864823,12079.077,11.557123,0,0,104.15223,0.87387753,105.51577,2.450042
2.4689937,1,2.460042,1,99.872803,96.42746,352.26776,104.98914,-14.250365,119.97555,143.68123,0.93932599,12079.077,12.210429,0,0,98.145576,0.89493144,104.99012,2.450042
2.4691937,1,2.460042,1,99.872803,96.42746,352.29651,104.35142,-14.656339,120.36594,143.6852,0.94814605,12079.077,12.813758,0,0,91.751228,0.915869,104.3522,2.450042
2.4693937,1,2.460042,1,99.872803,96.42746,352.32523,103.5994,-15.002985,120.6074,143.68858,0.95507407,12079.077,13.364738,0,0,84.994698,0.93666762,103.60001,2.450042
2.4695938,1,2.460042,1,99.872803,96.42746,352.35397,102.73157,-15.288975,120.73438,143.69128,0.96008313,12079.077,13.861209,0,0,77.902916,0.9573043,102.73197,2.450042
2.4697938,1,2.460042,1,99.872803,96.42746,352.38272,101.74679,-15.513217,120.7831,143.69319,0.96315384,12079.077,14.301226,0,0,70.504089,0.97775567,101.747,2.450042
2.4699938,1,2.460042,1,99.872803,96.42746,352.41147,100.64445,-15.674866,120.79097,143.69421,0.96427453,12079.077,14.68307,0,0,62.827614,0.99799836,100.64447,2.450042
2.47,1,2.460042,1,99.872803,96.42746,352.41235,100.60797,-15.678918,120.79098,143.69423,0.9642781,12079.077,14.694091,0,0,62.582623,0.99862981,100.60798,2.450042
2.47,1,2.460042,1,99.862976,96.427811,352.41235,100.60797,-15.678918,0,143.69423,0,12079.098,14.694091,0,0,62.582623,0,100.60798,2.450042
2.4700084,1,2.460042,1,99.862976,96.427811,352.41357,100.55864,-15.684276,6.014277e-07,143.69424,1.736361e-06,12079.098,14.708842,0,0,62.252277,0.00085006002,100.55864,2.450042
2.470042,1,2.460042,1,99.862976,96.427811,352.4184,100.36143,-15.704368,3.3070504e-05,143.69431,-2.5609261e-05,12079.098,14.766155,0,0,60.941044,0.0042091357,100.3614,2.450042
2.470042,1,2.460042,1,99.862976,96.427811,352.4184,100.36143,-15.704368,3.3070504e-05,143.69431,-2.5609261e-05,12079.098,14.766155,0,0,60.941044,0.0042091357,100.3614,2.470042
2.470042,1,2.460042,1,99.862976,96.427811,352.4184,100.36143,-15.704368,3.3070508e-05,143.69431,-2.5609263e-05,12079.098,14.766155,0,0,60.941044,0.0042091357,100.3614,2.470042
2.470042,0,2.460042,0,99.862976,96.427811,352.4184,100.36143,-15.704368,3.3070508e-05,143.69431,-2.5609263e-05,12079.098,14.766155,0,0,60.941044,0.0042091357,100.3614,2.470042
2.4701936,0,2.460042,0,99.862976,96.427811,352.44022,99.473541,-15.77439,3.3070661e-05,143.69426,-2.576099e-05,12079.098,15.006318,0,0,55.395248,0.019381853,94.244255,2.470042
