"Time","rectifier.thyristor_p1.off","rectifier.thyristor_p2.off","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n2.off","inductor.i","meanCurrent.x","rectifier.thyristor_n1.off","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","meanVoltage.y"
4.977397,1,0,12099.887,4.96,1,6.1447268,0.044917304,0,108.72283,-0.14874592,4.9699998,6.1320772,1.0895756
4.9775972,1,0,12099.887,4.96,1,6.1661215,0.046148464,0,111.14728,-0.12672886,4.9699998,6.1320772,1.0895756
4.977797,1,0,12099.887,4.96,1,6.1860104,0.047383752,0,113.26855,-0.10613529,4.9699998,6.1320772,1.0895756
4.9779973,1,0,12099.887,4.96,1,6.204318,0.048622858,0,115.09135,-0.087046489,4.9699998,6.1320772,1.0895756
4.9781971,1,0,12099.887,4.96,1,6.2209754,0.049865466,0,116.62512,-0.069537766,4.9699998,6.1320772,1.0895756
4.9783974,1,0,12099.887,4.96,1,6.2359204,0.051111232,0,117.88385,-0.053678237,4.9699998,6.1320772,1.0895756
4.9785972,1,0,12099.887,4.96,1,6.2490978,0.052359816,0,118.88584,-0.039530508,4.9699998,6.1320772,1.0895756
4.978797,1,0,12099.887,4.96,1,6.260458,0.05361085,0,119.65347,-0.02715042,4.9699998,6.1320772,1.0895756
4.9789972,1,0,12099.887,4.96,1,6.2699599,0.054863974,0,120.21278,-0.016586833,4.9699998,6.1320772,1.0895756
4.979197,1,0,12099.887,4.96,1,6.2775698,0.056118809,0,120.59312,-0.0078814374,4.9699998,6.1320772,1.0895756
4.9793973,1,0,12099.887,4.96,1,6.2832603,0.057374973,0,120.82668,-0.0010685923,4.9699998,6.1320772,1.0895756
4.9795971,1,0,12099.887,4.96,1,6.2870126,0.058632083,0,120.94794,0.0038248135,4.9699998,6.1320772,1.0895756
4.9797974,1,0,12099.887,4.96,1,6.2888145,0.059889749,0,120.99316,0.0067794654,4.9699998,6.1320772,1.0895756
4.9799972,1,0,12099.887,4.96,1,6.2886634,0.061147578,0,120.99979,0.0077837068,4.9699998,6.1320772,1.0895756
4.98,1,0,12099.887,4.96,1,6.2886477,0.061165012,0,120.99979,0.0077838944,4.9699998,6.1320772,1.0895756
4.98,1,0,12099.979,4.96,1,6.2886477,0,0,0,0,4.9699998,6.1165013,0.77838945
4.98,1,0,12099.979,4.96,1,6.2886477,1.5656212e-11,0,1.528793e-16,-1.9509185e-14,4.9699998,6.1165013,0.77838945
4.98,1,0,12099.979,4.98,1,6.2886477,1.5656212e-11,0,1.528793e-16,-1.9509185e-14,4.9699998,6.1165013,0.77838945
4.9801974,1,0,12099.979,4.98,1,6.286562,0.0012401702,0,0.0061043957,-0.00095031946,4.9699998,6.1165013,0.77838945
4.9803972,1,0,12099.979,4.98,1,6.2825222,0.0024971606,0,0.049752224,-0.0038510726,4.9699998,6.1165013,0.77838945
4.980597,1,0,12099.979,4.98,1,6.2765636,0.0037531508,0,0.16842546,-0.0086910166,4.9699998,6.1165013,0.77838945
4.9807973,1,0,12099.979,4.98,1,6.2687125,0.0050077592,0,0.39842165,-0.015451038,4.9699998,6.1165013,0.77838945
